100 0.223607
0.143933 0.0567869 0.00725687
0.0458378 0.0377017 0.000587086
0.163504 0.0402415 0.0106811
0.165391 0.0593141 0.0136551
0.0812945 0.100699 0.00769466
0.0200569 0.125646 0.00433697
0.199036 0.0446716 0.00381542
0.143175 0.0763921 0.0101237
0.139138 0.205263 0.0290942
0.166058 0.166242 0.0251595
0.0977378 0.159585 0.018273
0.063577 0.0865331 0.00322359
0.182658 0.16277 0.0273255
0.0555474 0.0238163 0.000308047
0.123656 0.146152 0.0159584
0.102909 0.201191 0.0204065
0.166252 0.096175 0.0177183
0.0973686 0.0571289 0.00132441
0.202408 0.166124 0.0313438
0.0998346 0.177562 0.0199991
0.0838828 0.183596 0.0099367
0.106601 0.0361902 0.00347058
0.0393606 0.162816 0.00517617
0.200462 0.141692 0.0300946
0.207097 0.120213 0.0210608
0.118401 0.103679 0.00782667
0.0616175 0.118997 0.0035355
0.0366013 0.147744 0.0101121
0.15879 0.182707 0.0251825
0.166789 0.202428 0.0295818
0.182665 0.0632156 0.00885032
0.158478 0.0210047 0.00138319
0.0790149 0.204369 0.0136127

0.137118 0.110742 0.0245469
0.189527 0.0912967 0.00578058
0.0933724 0.074648 0.000844933
0.199812 0.20514 0.0483333
0.21068 0.0982126 0.0105477
0.193407 0.138947 0.027221
0.120389 0.0577191 0.00240941
0.0327395 0.130552 0.0054957
0.0577689 0.159312 0.00265067
0.208976 0.0155483 0.00548411
0.0820617 0.0180768 0.0108551
0.0767523 0.0356979 0.00459185
0.0194642 0.0523723 0.00625135
0.0339173 0.0953085 0.00746041
0.162827 0.122002 0.025855
0.0667847 0.107082 0.002684
0.139135 0.0136388 0.0127751
0.186183 0.120961 0.0184331
0.0722913 0.0900972 0.0058307
0.0701299 0.213468 0.0135144
0.201246 0.0612946 0.00276404
0.190698 0.0921189 0.0162192
0.0589275 0.182436 0.00661701
0.139556 0.0407584 0.000764013
0.101407 0.0293157 0.00302137
0.0226114 0.0300646 0.00528928
0.125993 0.189086 0.020909
0.0398004 0.188192 0.012737
0.0822666 0.139172 0.0061601
0.019371 0.180072 0.00361849
0.0437286 0.061533 0.00903348
0.0380104 0.0808626 0.00102956
0.0759918 0.0547376 0.00732614
0.093923 0.143712 0.00935951
0.0295146 0.0841236 0.0101138
0.145961 0.179024 0.0286606
0.117062 0.21144 0.0154073
0.0711538 0.0494521 0.0065373
0.14676 0.149346 0.0148546
0.132202 0.0496665 0.00354794
0.184685 0.0469685 0.0171418
0.0133732 0.156025 0.00495692
0.10662 0.122373 0.0198252
0.20596 0.173383 0.0292543
0.0689444 0.14782 0.00536003
0.138932 0.119614 0.0232981
0.0218283 0.132783 0.00760321
0.184743 0.206313 0.0304144
0.159505 0.150116 0.0272763
0.156216 0.0809048 0.0111427
0.121508 0.0856167 0.0095379
0.0180716 0.0482111 0.00483462
0.0100328 0.201298 0.00100077
0.212649 0.0820848 0.0106739
0.120012 0.166507 0.0284552
0.065651 0.0544493 0.00112032
0.19294 0.0143279 0.00938074
0.0915094 0.166072 0.0183752
0.0952829 0.102186 0.0189102
0.179339 0.176233 0.0373082
0.0405277 0.197964 0.00654725
0.132024 0.01016 0.00473061
0.123905 0.111844 0.0098968
0.151422 0.15393 0.0231644
0.0253066 0.106369 0.00324683
0.0502178 0.01992 0.0107084
0.0766267 0.131949 0.0173904
0.145422 0.0529717 0.00596521
0.0505488 0.0350163 0.000381798
0.164305 0.0398649 0.0143807
0.167907 0.0577964 0.0170531
0.0812791 0.0998435 0.00717666
0.0198035 0.128965 0.00601443
0.195178 0.0483224 0.000229159
0.143974 0.0719199 0.0088087
0.136267 0.207067 0.0292475
0.16918 0.169531 0.0239897
0.094191 0.156822 0.0198587
0.0659326 0.0912803 0.00164478
0.182391 0.162903 0.0251195
0.0506053 0.0269874 0.00171508
0.125191 0.149659 0.0146885
0.104063 0.199293 0.020175
0.169552 0.0912072 0.0187995
0.093486 0.0536245 0.00310645
0.201616 0.169304 0.0297855
0.0981938 0.172663 0.0212755
0.0862203 0.184182 0.00544639
0.111112 0.0321306 0.00286908
0.0381832 0.162992 0.00387125
0.197908 0.141145 0.0311633
0.210568 0.118618 0.0176676
0.115158 0.105533 0.00367211
0.0621938 0.116297 1.225e-05
0.0329154 0.152698 0.0140457
0.155306 0.182485 0.0210284
0.170576 0.201654 0.0264218
0.182406 0.0652447 0.00675332
0.15471 0.02162 0.000364615
0.076927 0.205359 0.0109616

0.134644 0.115054 0.0293712
0.192659 0.0960515 0.00144941
0.0894358 0.0714749 0.00518274
0.198161 0.206026 0.0516718
0.214204 0.0965808 0.0057317
0.198297 0.137267 0.0271612
0.119638 0.0561645 1.48399e-05
0.0289726 0.134641 0.00574844
0.056238 0.157736 0.000809663
0.21169 0.0132723 0.00612787
0.0824189 0.0170048 0.0152371
0.0745812 0.033337 0.00520426
